,Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
40,Poland,POL,PLN,17.75,4.3373,4.09240771908791,3.3115671641791025,24778.9568901408,-23.649,-22.573,-12.316,29.859,15.68,-11.129999999999999,-18.022,-4.197,43.76,13.685
41,Qatar,QAT,QAR,14.0,3.64175,3.84430562229697,2.6119402985074607,115511.0284,-28.278,-27.267000000000003,-17.631,21.986,8.667,-35.544,-40.543,-30.514999999999997,4.267,-17.546
42,Romania,ROU,RON,12.3,4.51885,2.72193146486385,2.2947761194029863,31884.0340813008,-49.218,-48.502,-41.68,-13.628000000000002,-23.06,-42.227,-46.707,-37.719,-6.543,-26.095000000000002
43,Saudi Arabia,SAU,SAR,19.0,3.7545,5.06059395392196,3.544776119402985,29559.1587368421,-5.586,-4.255,8.429,60.580999999999996,43.047000000000004,8.212,-0.18,16.654,75.048,38.428000000000004
44,Singapore,SGP,SGD,5.9,1.32015,4.46918910729841,1.1007462686567155,99048.2757966102,-16.619999999999997,-15.443999999999999,-4.243,41.815000000000005,26.33,-21.834,-27.895999999999997,-15.736,26.444000000000003,-0.008
45,Sweden,SWE,SEK,57.4,10.2154,5.61896744131409,10.708955223880588,52074.2619930314,4.8309999999999995,6.308999999999999,20.393,78.29899999999999,58.831,12.069,3.3770000000000002,20.812,81.28699999999999,43.362
46,Thailand,THA,THB,128.0,32.8225,3.89976388148374,23.88059701492538,10353.09166875,-27.243000000000002,-26.217000000000002,-16.442999999999998,23.746000000000002,10.234,-11.143,-18.035,-4.211,43.738,13.668
47,Turkey,TUR,TRY,75.0,18.8055,3.98819494296881,13.992537313432827,11919.9953706667,-25.593,-24.544,-14.548,26.552,12.734000000000002,-9.612,-16.622,-2.56,46.216,15.626999999999999
48,Taiwan,TWN,TWD,75.0,30.369,2.46962362935889,13.992537313432859,74062.4424853333,-53.925,-53.27499999999999,-47.086,-21.634999999999998,-30.191000000000003,-53.781,-57.365,-50.175000000000004,-25.234,-40.875
49,Ukraine,UKR,UAH,92.0,36.917,2.49207682097679,17.16417910447764,,-53.506,-52.851000000000006,-46.604,-20.922,-29.557,,,,,
50,Uruguay,URY,UYU,268.0,39.125,6.84984025559105,49.999999999999964,16786.7898,27.796,29.597,46.766000000000005,117.357,93.624,52.72,40.877,64.63499999999999,147.047,95.364
51,United States,USA,USD,5.36,1.0,5.36,1.0,75179.59,0.0,1.41,14.844,70.082,51.51,0.0,-7.754999999999999,7.8020000000000005,61.763999999999996,27.923
52,Venezuela,VEN,VES,56.3,20.7081,2.71874290736475,10.50373134328358,,-49.277,-48.562,-41.748000000000005,-13.73,-23.150000000000002,,,,,
53,Vietnam,VNM,VND,72000.0,23450.0,3.07036247334755,13432.83582089553,6983.47108911111,-42.717,-41.91,-34.214,-2.572,-13.209999999999999,-29.226999999999997,-34.716,-23.706,14.485000000000001,-9.466
54,South Africa,ZAF,ZAR,49.9,17.21,2.89947704822777,9.309701492537299,11654.1556232465,-45.905,-45.143,-37.875,-7.994999999999999,-18.041,-34.227000000000004,-39.328,-29.096,6.397,-15.862000000000002
